ID,Labels,Full Name,name,Platform,Description
4:03d53530:6,Adaptation,Scaling,Scaling,-,Adjusting resources dynamically to meet demand.
4:03d53530:7,Adaptation,Vertical Scaling,V-Scale,-,"Increasing resources of an existing instance (CPU, RAM)."
4:03d53530:8,Adaptation,Horizontal Scaling,H-Scale,-,Adding/removing instances to handle load changes.
4:03d53530:9,Adaptation,Load Shedding,L-Shed,-,Dropping non-critical requests to maintain service quality.
4:03d53530:10,Adaptation,Load Balancing,L-Bal,-,Distributing traffic efficiently across resources.
4:03d53530:14,Adaptation,Caching,Cache,-,Temporarily storing data for faster retrieval.
4:03d53530:15,Adaptation,Software Caching,SW Cache,-,"Caching implemented in software (e.g., Redis, Memcached)."
4:03d53530:17,Adaptation,HTTP/Service Caching,HTTP Cache,-,Caching HTTP responses for faster delivery.
4:03d53530:18,Adaptation,Migration,Migrate,-,Moving workloads between nodes or environments.
4:03d53530:19,Adaptation,Co-location,Co-loc,-,Placing related services on the same node for efficiency.
4:03d53530:21,Adaptation,Queueing Levels,Queueing,-,Managing request queues to optimize processing.
4:03d53530:68,Adaptation,Changing Network Topology,Net Topo,-,Adjusting network structure to optimize routing.
4:03d53530:70,Adaptation,Traffic Steering,Traffic,-,Directing network traffic based on policies.
