id,/geo.Geo/Nearby,/rate.Rate/GetRates,/search.Search/Nearby,HTTP GET /hotels,startTime,total,/recommendation.Recommendation/GetRecommendations,memcached_get_profile,/profile.Profile/GetProfiles,HTTP GET /recommendations,/reservation.Reservation/CheckAvailability,memcached_get_multi_rate,memcached_capacity_get_multi_number,memcached_reserve_get_multi_number,pattern
00c6e78768fbdbb9,249698.0,1662699.0,2087192.0,2087369.0,2025-10-06 23:45:21.473603,7999430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100110000011
00e9af10d9d177df,0.0,0.0,0.0,0.0,2025-10-06 23:45:12.199772,374934,101770.0,9752.0,75848.0,177717.0,0.0,0.0,0.0,0.0,01010001001011
0044d9bf23af9809,8521.0,3430801.0,3448066.0,3448264.0,2025-10-06 23:45:10.456934,13775059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100110000011
0011efb8459fd2cf,49121.0,6263572.0,6345452.0,7892031.0,2025-10-06 23:44:59.204099,28994802,0.0,323.0,359686.0,0.0,1186236.0,84508.0,390.0,8542.0,11101110111111
00c79c4fe981e8df,0.0,0.0,0.0,0.0,2025-10-06 23:45:16.280750,370330,11.0,9734.0,107242.0,175440.0,0.0,0.0,0.0,0.0,01010001001011
00237a849904cf5e,0.0,0.0,0.0,0.0,2025-10-06 23:45:16.471485,296684,22.0,720.0,760.0,147632.0,0.0,0.0,0.0,0.0,01010001001011
00362d047b79e390,0.0,0.0,0.0,0.0,2025-10-06 23:45:14.186739,316941,37562.0,1690.0,119113.0,156819.0,0.0,0.0,0.0,0.0,01010001001011
00a19e61d891da94,7319.0,5106548.0,5219331.0,5219540.0,2025-10-06 23:45:26.158608,20666728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100110000011
007c14f91cd60bf8,0.0,0.0,0.0,0.0,2025-10-06 23:45:32.448857,1104339,54865.0,830.0,496409.0,551367.0,0.0,0.0,0.0,0.0,01010001001011
00d44bd0639dc705,0.0,0.0,0.0,0.0,2025-10-06 23:45:34.067187,2245334,708864.0,1028.0,412683.0,1121674.0,0.0,0.0,0.0,0.0,01010001001011
013614366042fc94,84071.0,1332113.0,1444272.0,3001332.0,2025-10-06 23:45:20.745982,8834887,0.0,1.0,1179766.0,0.0,377002.0,4.0,0.0,1.0,11101110011111
0121564fa3624845,97283.0,677564.0,1058757.0,1058948.0,2025-10-06 23:45:30.423089,3667639,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10100110010011
00a13c57be9d9b3b,11.0,10300689.0,10362319.0,12450776.0,2025-10-06 23:45:11.227712,46877684,0.0,312.0,1123066.0,0.0,559528.0,1195949.0,462.0,1848.0,11101110111111
01456eb5b9cc0323,0.0,0.0,0.0,0.0,2025-10-06 23:45:22.436911,2228717,136803.0,96.0,977401.0,1114297.0,0.0,0.0,0.0,0.0,01010001001011
00aa24e05ed3763c,9907.0,1814677.0,2031896.0,2032040.0,2025-10-06 23:45:21.348128,7713153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100110000011
001e986013b44f9e,0.0,0.0,0.0,0.0,2025-10-06 23:45:28.427407,318549,42.0,867.0,53789.0,158408.0,0.0,0.0,0.0,0.0,01010001001011
003c426ada922681,0.0,0.0,0.0,0.0,2025-10-06 23:45:15.125417,69201,11901.0,1025.0,21456.0,33441.0,0.0,0.0,0.0,0.0,01010001001011
00c19be53cfcbd80,0.0,0.0,0.0,0.0,2025-10-06 23:45:24.177861,392767,38.0,18331.0,18405.0,178071.0,0.0,0.0,0.0,0.0,01010001001011
010a0b3e8963e98b,0.0,0.0,0.0,0.0,2025-10-06 23:45:00.662126,854364,59.0,1426.0,420261.0,425733.0,0.0,0.0,0.0,0.0,01010001001011
00d728e131287216,0.0,0.0,0.0,0.0,2025-10-06 23:45:35.165646,3405000,8.0,17833.0,1633718.0,1684704.0,0.0,0.0,0.0,0.0,01010001001011
00f218c15e30c9eb,0.0,0.0,0.0,0.0,2025-10-06 23:45:30.530859,1722535,58491.0,3635.0,799061.0,857624.0,0.0,0.0,0.0,0.0,01010001001011
014410052a70ffa9,0.0,0.0,0.0,0.0,2025-10-06 23:45:24.415682,129396,90.0,297.0,49378.0,64378.0,0.0,0.0,0.0,0.0,01010001001011
0001d0d2375a3259,0.0,0.0,0.0,0.0,2025-10-06 23:45:34.153522,4464066,12.0,1762.0,1562857.0,2230310.0,0.0,0.0,0.0,0.0,01010001001011
