,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1752841660,5.0,0.0,0.0,0.0,5.0,0.016666,1.0,80.0,-212.0,0.18873778412096656,0.18873778412096656
1,1752841665,5.0,0.0,0.0,0.0,5.0,0.016666,1.0,80.0,-212.0,0.17528817757639825,0.17528817757639825
2,1752841670,5.0,0.0,5.0,0.0,5.0,0.268964,0.000862,80.0,288.0,0.15831372894021337,0.15831372894021337
3,1752841675,5.0,0.0,5.0,0.0,5.0,0.268964,0.000862,80.0,288.0,0.1738759334257386,0.1738759334257386
4,1752841680,5.0,0.0,5.0,0.0,5.0,0.268964,0.000862,80.0,288.0,0.15640258652651837,0.15640258652651837
5,1752841685,5.0,0.0,5.0,0.0,5.0,0.268964,0.000862,80.0,288.0,0.14482445591058785,0.14482445591058785
6,1752841690,5.0,0.0,5.0,0.0,5.0,0.268964,0.000862,80.0,288.0,0.14626054273077568,0.14626054273077568
7,1752841695,5.0,0.0,5.0,0.0,5.0,0.268964,0.000862,80.0,288.0,0.14304383178304944,0.14304383178304944
8,1752841700,5.0,0.0,5.0,0.0,5.0,0.270115,0.001517,80.0,288.0,0.005246527377374535,0.005246527377374535
9,1752841705,5.0,0.0,5.0,0.0,5.0,0.270115,0.001517,80.0,288.0,0.005342772749093278,0.005342772749093278
10,1752841710,5.0,0.0,5.0,0.0,5.0,0.270115,0.001517,80.0,288.0,0.005313587624162288,0.005313587624162288
11,1752841715,5.0,0.0,5.0,0.0,5.0,0.270115,0.001517,80.0,288.0,0.005155221515471622,0.005155221515471622
12,1752841720,5.0,0.0,5.0,0.0,5.0,0.270115,0.001517,80.0,288.0,0.005147315355898604,0.005147315355898604
13,1752841725,5.0,0.0,5.0,0.0,5.0,0.270115,0.001517,80.0,288.0,0.005016912672937683,0.005016912672937683
14,1752841730,5.0,0.0,5.0,0.0,5.0,0.001911,0.000607,80.0,288.0,0.004575885692384645,0.004575885692384645
