id,memcached_get_profile,/profile.Profile/GetProfiles,/recommendation.Recommendation/GetRecommendations,HTTP GET /recommendations,startTime,total,mongo_profile,pattern
00da4ff21742d0d7,379.0,2803724.0,28304,2832219.0,2025-10-07 09:49:23.126007,5665260,0.0,1111011
00d9afbd1c7851fa,670.0,736.0,51,199278.0,2025-10-07 09:49:06.714595,397291,0.0,1111011
00133a5b549508ba,55775.0,1272924.0,13,1324599.0,2025-10-07 09:48:52.878260,2760622,0.0,1111011
00e36321a2989738,326.0,408.0,5,388107.0,2025-10-07 09:48:59.912145,776821,0.0,1111011
006461156283be28,211.0,253.0,5547,6106191.0,2025-10-07 09:49:30.708655,12212689,0.0,1111011
00daf05ae39da022,268.0,323.0,69,132949.0,2025-10-07 09:49:02.891158,266506,0.0,1111011
0097452c40a6a702,839.0,262031.0,12,388306.0,2025-10-07 09:49:04.915651,778333,0.0,1111011
0107315d6779709c,2370.0,2928.0,45814,6762563.0,2025-10-07 09:49:34.159929,13530465,0.0,1111011
0117badaf597f9d3,472.0,547.0,7,8751915.0,2025-10-07 09:49:25.854879,17504709,0.0,1111011
01361f046a85f2af,824.0,8683217.0,6334,8690116.0,2025-10-07 09:49:26.729570,17381508,0.0,1111011
011c96ac97662280,363.0,5647474.0,114150,5761716.0,2025-10-07 09:49:31.141587,11524207,0.0,1111011
0064e785bf97eab1,637.0,318944.0,14,350159.0,2025-10-07 09:49:13.886508,701529,0.0,1111011
00b578f50df91496,1525.0,1580.0,82774,7580179.0,2025-10-07 09:49:33.155165,15163528,0.0,1111011
01396a078136ee7e,826.0,4157114.0,122741,4279980.0,2025-10-07 09:49:18.903697,8561533,0.0,1111011
011199b82dc5c04d,15362.0,2672027.0,8691,2680911.0,2025-10-07 09:49:20.559942,5392574,0.0,1111011
005884366ca917c4,2423.0,2854.0,14,7099667.0,2025-10-07 09:49:36.568241,14204428,0.0,1111011
000c63ddfaf03727,991.0,1226.0,17,103503.0,2025-10-07 09:48:56.876599,209024,0.0,1111011
013468f06b7045b3,5782.0,2346239.0,180382,2526707.0,2025-10-07 09:49:09.195964,5065157,0.0,1111011
00ea1c74d69a6b14,25824.0,3771349.0,373565,4145069.0,2025-10-07 09:49:24.152445,8341862,0.0,1111011
00dda86e154bd827,448.0,486.0,4150,8981.0,2025-10-07 09:49:03.255268,18803,0.0,1111011
004262323db7d77e,509.0,562.0,17001,2836016.0,2025-10-07 09:49:23.222471,5673248,0.0,1111011
006e14cfec10e596,417.0,462.0,8227,35592.0,2025-10-07 09:49:13.671532,71790,0.0,1111011
007da97b6affdb57,1178.0,1278.0,7,3909217.0,2025-10-07 09:49:24.130454,7820746,0.0,1111011
00d758dd8f60f525,3795.0,3907.0,15569,0.0,2025-10-07 09:49:43.359912,23286,0.0,1101011
00bebdbec4a552d6,1253.0,2156.0,16,0.0,2025-10-07 09:49:39.472423,482790,0.0,1101011
00d28a369d9f60d4,186.0,278.0,335136,8967608.0,2025-10-07 09:49:25.268240,17935355,0.0,1111011
00846ef74ad7d6e5,5976.0,6013.0,258,6125639.0,2025-10-07 09:49:15.617985,12263449,0.0,1111011
00b253a4bdfe49d5,460.0,5343423.0,21,5353418.0,2025-10-07 09:49:31.917308,10707764,0.0,1111011
00534ace56feb349,19660.0,19788.0,61002,0.0,2025-10-07 09:49:44.364756,100495,0.0,1101011
00bc53652198401e,3559.0,9160039.0,12,9666789.0,2025-10-07 09:49:25.144307,19340598,0.0,1111011
00348f94f2ce0819,514.0,590.0,6,1572618.0,2025-10-07 09:49:06.913175,3146205,0.0,1111011
003dca562b847bd2,5328.0,5410.0,8,648864.0,2025-10-07 09:49:11.923487,1308307,0.0,1111011
003a9492460b98e3,266.0,437.0,139,0.0,2025-10-07 09:49:44.704184,6905,0.0,1101011
006986b54be345e1,1721.0,113283.0,96201,209713.0,2025-10-07 09:49:01.921809,423060,0.0,1111011
012300b239916045,970.0,6693731.0,69,6716608.0,2025-10-07 09:49:15.151133,13435216,0.0,1111011
000492c1316187ef,2445.0,6569762.0,17,6591795.0,2025-10-07 09:49:37.880090,13188400,0.0,1111011
0002e16d47e07111,376.0,6037770.0,4338,6042207.0,2025-10-07 09:49:16.185841,12085174,0.0,1111011
0063b001374887b4,1323.0,6131253.0,70835,6202286.0,2025-10-07 09:49:15.977158,12407327,0.0,1111011
00b8514a59292be3,10057.0,8292964.0,6,8481926.0,2025-10-07 09:49:26.274424,16983805,0.0,1111011
0006d8476a18c5c7,1077.0,226546.0,5,299716.0,2025-10-07 09:48:59.947732,601520,0.0,1111011
004af3091d522d80,542.0,610.0,12827,79045.0,2025-10-07 09:49:03.108332,159127,0.0,1111011
003c6d8a376ee87d,1002.0,1075.0,292399,0.0,2025-10-07 09:49:40.659853,294701,0.0,1101011
00c12596477498d9,520.0,2863122.0,161,2888455.0,2025-10-07 09:49:23.071252,5778104,0.0,1111011
009f75f19d3d9132,13194.0,13332.0,12411,6358645.0,2025-10-07 09:49:15.209459,12743677,0.0,1111011
00bbf4a4b5328a03,21709.0,6141073.0,3347,6144621.0,2025-10-07 09:49:15.527441,12332546,0.0,1111011
0014415586716660,553.0,9393789.0,175316,9569816.0,2025-10-07 09:49:25.577754,19140373,0.0,1111011
00add90dcacfb611,1337.0,594441.0,60544,655213.0,2025-10-07 09:49:05.990579,1313080,0.0,1111011
